task_id	name	status	exit	realtime	peak_vmem
1	obtain_basic_info	COMPLETED	0	1.6s	391.7 MB
4	generate_data_benchmark (grid row: 3)	COMPLETED	0	3.9s	580.4 MB
6	generate_data_benchmark (grid row: 5)	COMPLETED	0	3.6s	580.4 MB
5	generate_data_benchmark (grid row: 4)	COMPLETED	0	3.7s	580.4 MB
7	generate_data_benchmark (grid row: 6)	COMPLETED	0	4.3s	592.3 MB
18	generate_data_benchmark (grid row: 17)	COMPLETED	0	8.8s	635 MB
20	generate_data_benchmark (grid row: 19)	COMPLETED	0	8.9s	635 MB
19	generate_data_benchmark (grid row: 18)	COMPLETED	0	8.9s	635 MB
22	generate_data_benchmark (grid row: 21)	COMPLETED	0	12.3s	726 MB
21	generate_data_benchmark (grid row: 20)	COMPLETED	0	8.8s	635 MB
24	generate_data_benchmark (grid row: 23)	COMPLETED	0	12.2s	726 MB
23	generate_data_benchmark (grid row: 22)	COMPLETED	0	12.1s	726 MB
28	generate_data_benchmark (grid row: 27)	COMPLETED	0	4.4s	563.4 MB
27	generate_data_benchmark (grid row: 26)	COMPLETED	0	4.3s	563.4 MB
30	generate_data_benchmark (grid row: 29)	COMPLETED	0	4.2s	563.4 MB
29	generate_data_benchmark (grid row: 28)	COMPLETED	0	4.1s	563.4 MB
31	generate_data_benchmark (grid row: 30)	COMPLETED	0	4.1s	563.4 MB
33	generate_data_benchmark (grid row: 32)	COMPLETED	0	4s	579.4 MB
3	generate_data_benchmark (grid row: 2)	COMPLETED	0	3.5s	580.4 MB
2	generate_data_benchmark (grid row: 1)	COMPLETED	0	2.9s	505.5 MB
8	generate_data_benchmark (grid row: 7)	COMPLETED	0	4.2s	592.3 MB
9	generate_data_benchmark (grid row: 8)	COMPLETED	0	4.1s	592.3 MB
10	generate_data_benchmark (grid row: 9)	COMPLETED	0	6.2s	592.3 MB
11	generate_data_benchmark (grid row: 10)	COMPLETED	0	6s	592.3 MB
13	generate_data_benchmark (grid row: 12)	COMPLETED	0	7.3s	597.1 MB
26	generate_data_benchmark (grid row: 25)	COMPLETED	0	11.8s	726 MB
25	generate_data_benchmark (grid row: 24)	COMPLETED	0	11.7s	726 MB
17	generate_data_benchmark (grid row: 16)	COMPLETED	0	7.5s	635 MB
16	generate_data_benchmark (grid row: 15)	COMPLETED	0	5.7s	597.1 MB
12	generate_data_benchmark (grid row: 11)	COMPLETED	0	7.3s	597.1 MB
14	generate_data_benchmark (grid row: 13)	COMPLETED	0	7.2s	597.1 MB
15	generate_data_benchmark (grid row: 14)	COMPLETED	0	7.1s	597.1 MB
32	generate_data_benchmark (grid row: 31)	COMPLETED	0	6.3s	579.4 MB
34	generate_data_benchmark (grid row: 33)	COMPLETED	0	6.2s	579.4 MB
35	generate_data_benchmark (grid row: 34)	COMPLETED	0	6.1s	579.4 MB
36	generate_data_benchmark (grid row: 35)	COMPLETED	0	6.1s	579.4 MB
37	generate_data_benchmark (grid row: 36)	COMPLETED	0	7.3s	604.6 MB
38	generate_data_benchmark (grid row: 37)	COMPLETED	0	7.3s	604.6 MB
40	generate_data_benchmark (grid row: 39)	COMPLETED	0	7.2s	604.6 MB
41	generate_data_benchmark (grid row: 40)	COMPLETED	0	6.2s	604.6 MB
39	generate_data_benchmark (grid row: 38)	COMPLETED	0	5.9s	604.6 MB
42	generate_data_benchmark (grid row: 41)	COMPLETED	0	9.9s	678.3 MB
43	generate_data_benchmark (grid row: 42)	COMPLETED	0	9.9s	678.3 MB
44	generate_data_benchmark (grid row: 43)	COMPLETED	0	9.8s	678.3 MB
45	generate_data_benchmark (grid row: 44)	COMPLETED	0	9.7s	678.3 MB
47	generate_data_benchmark (grid row: 46)	COMPLETED	0	4s	592.7 MB
46	generate_data_benchmark (grid row: 45)	COMPLETED	0	8.4s	678.3 MB
48	generate_data_benchmark (grid row: 47)	COMPLETED	0	5.5s	592.7 MB
50	generate_data_benchmark (grid row: 49)	COMPLETED	0	5.5s	592.7 MB
51	generate_data_benchmark (grid row: 50)	COMPLETED	0	5.4s	592.7 MB
49	generate_data_benchmark (grid row: 48)	COMPLETED	0	5.4s	592.7 MB
52	generate_data_benchmark (grid row: 51)	COMPLETED	0	6.6s	592.3 MB
53	generate_data_benchmark (grid row: 52)	COMPLETED	0	6.5s	592.2 MB
55	generate_data_benchmark (grid row: 54)	COMPLETED	0	6.4s	592.3 MB
54	generate_data_benchmark (grid row: 53)	COMPLETED	0	6.4s	592.2 MB
56	generate_data_benchmark (grid row: 55)	COMPLETED	0	6.3s	592.3 MB
