task_id	name	status	exit	realtime	peak_vmem
1	obtain_basic_info	CACHED	0	467ms	342.9 MB
2	generate_data_benchmark (grid row: 1)	CACHED	0	1.9s	580.3 MB
4	generate_data_benchmark (grid row: 3)	CACHED	0	2.5s	432.4 MB
3	generate_data_benchmark (grid row: 2)	CACHED	0	1.8s	375.8 MB
6	run_method_benchmark (method: GCM_semi_supervised_oracle_oracle_1; grid row: 1)	CACHED	0	555ms	375.8 MB
7	run_method_benchmark (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 1)	CACHED	0	6.2s	625.9 MB
5	generate_data_benchmark (grid row: 4)	CACHED	0	2.5s	453 MB
9	generate_data_benchmark (grid row: 5)	CACHED	0	1.8s	580.3 MB
10	generate_data_benchmark (grid row: 6)	CACHED	0	2.1s	592.3 MB
11	run_method_benchmark (method: dCRT_semi_supervised_LASSO_LASSO_4; grid row: 1)	CACHED	0	7s	615.2 MB
12	generate_data_benchmark (grid row: 7)	CACHED	0	2.5s	491.2 MB
13	run_method_benchmark (method: dCRT_semi_supervised_PLASSO_PLASSO_5; grid row: 1)	CACHED	0	8s	652.9 MB
15	generate_data_benchmark (grid row: 9)	CACHED	0	2.2s	516.4 MB
14	generate_data_benchmark (grid row: 8)	CACHED	0	2.1s	592.3 MB
8	run_method_benchmark (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 1)	CACHED	0	6.4s	628.7 MB
19	generate_data_benchmark (grid row: 11)	CACHED	0	3.1s	597.1 MB
17	generate_data_benchmark (grid row: 10)	CACHED	0	3.6s	512.2 MB
18	run_method_benchmark (method: GCM_semi_supervised_oracle_oracle_1; grid row: 3)	CACHED	0	517ms	375.8 MB
20	generate_data_benchmark (grid row: 12)	CACHED	0	2.8s	597.1 MB
22	generate_data_benchmark (grid row: 13)	CACHED	0	2.7s	597.1 MB
21	run_method_benchmark (method: GCM_semi_supervised_LASSO_LASSO_2; grid row: 3)	CACHED	0	6.3s	628.5 MB
23	generate_data_benchmark (grid row: 14)	CACHED	0	2.7s	597.1 MB
25	generate_data_benchmark (grid row: 15)	CACHED	0	2.8s	597.1 MB
16	run_method_benchmark (method: MaxwayCRT_semi_supervised_LASSO_LASSO_6; grid row: 1)	CACHED	0	4.8s	622.7 MB
26	generate_data_benchmark (grid row: 16)	CACHED	0	4.2s	635 MB
24	run_method_benchmark (method: GCM_semi_supervised_PLASSO_PLASSO_3; grid row: 3)	CACHED	0	6.2s	625.3 MB
28	generate_data_benchmark (grid row: 17)	CACHED	0	4.3s	635 MB
