task_id	name	status	exit	realtime	peak_vmem
1	obtain_basic_info	COMPLETED	0	423ms	375.8 MB
3	generate_data_benchmark (grid row: 2)	COMPLETED	0	1.8s	375.8 MB
2	generate_data_benchmark (grid row: 1)	COMPLETED	0	1.8s	574.9 MB
4	generate_data_benchmark (grid row: 3)	COMPLETED	0	1.8s	375.8 MB
11	generate_data_benchmark (grid row: 10)	COMPLETED	0	2.1s	582.6 MB
12	generate_data_benchmark (grid row: 11)	COMPLETED	0	2.8s	588.7 MB
20	generate_data_benchmark (grid row: 19)	COMPLETED	0	4.3s	627.8 MB
21	generate_data_benchmark (grid row: 20)	COMPLETED	0	4.2s	627.8 MB
36	generate_data_benchmark (grid row: 35)	COMPLETED	0	1.8s	572.1 MB
6	generate_data_benchmark (grid row: 5)	COMPLETED	0	1.9s	574.9 MB
5	generate_data_benchmark (grid row: 4)	COMPLETED	0	2s	375.8 MB
8	generate_data_benchmark (grid row: 7)	COMPLETED	0	2.3s	375.8 MB
38	generate_data_benchmark (grid row: 37)	COMPLETED	0	3s	597.4 MB
13	generate_data_benchmark (grid row: 12)	COMPLETED	0	2.9s	588.7 MB
14	generate_data_benchmark (grid row: 13)	COMPLETED	0	3s	588.7 MB
15	generate_data_benchmark (grid row: 14)	COMPLETED	0	2.8s	588.7 MB
17	generate_data_benchmark (grid row: 16)	COMPLETED	0	5s	627.8 MB
44	generate_data_benchmark (grid row: 43)	COMPLETED	0	5.8s	671.9 MB
45	generate_data_benchmark (grid row: 44)	COMPLETED	0	5.9s	671.9 MB
9	generate_data_benchmark (grid row: 8)	COMPLETED	0	2.4s	582.6 MB
7	generate_data_benchmark (grid row: 6)	COMPLETED	0	2.3s	582.6 MB
10	generate_data_benchmark (grid row: 9)	COMPLETED	0	2.4s	582.6 MB
18	generate_data_benchmark (grid row: 17)	COMPLETED	0	4.5s	627.8 MB
19	generate_data_benchmark (grid row: 18)	COMPLETED	0	4.9s	627.8 MB
16	generate_data_benchmark (grid row: 15)	COMPLETED	0	3.9s	588.7 MB
22	generate_data_benchmark (grid row: 21)	COMPLETED	0	6.8s	717.4 MB
24	generate_data_benchmark (grid row: 23)	COMPLETED	0	7s	717.4 MB
23	generate_data_benchmark (grid row: 22)	COMPLETED	0	7.1s	717.4 MB
62	generate_data_benchmark (grid row: 61)	COMPLETED	0	2.1s	375.8 MB
65	generate_data_benchmark (grid row: 64)	COMPLETED	0	2.1s	579.7 MB
70	generate_data_benchmark (grid row: 69)	COMPLETED	0	2.1s	582.6 MB
27	generate_data_benchmark (grid row: 26)	COMPLETED	0	2.2s	375.8 MB
28	generate_data_benchmark (grid row: 27)	COMPLETED	0	1.8s	375.8 MB
29	generate_data_benchmark (grid row: 28)	COMPLETED	0	1.8s	372.9 MB
30	generate_data_benchmark (grid row: 29)	COMPLETED	0	1.9s	556.1 MB
31	generate_data_benchmark (grid row: 30)	COMPLETED	0	2.1s	556.1 MB
71	generate_data_benchmark (grid row: 70)	COMPLETED	0	2.1s	372.9 MB
25	generate_data_benchmark (grid row: 24)	COMPLETED	0	7.3s	717.4 MB
26	generate_data_benchmark (grid row: 25)	COMPLETED	0	7.1s	717.4 MB
37	generate_data_benchmark (grid row: 36)	COMPLETED	0	3.1s	597.4 MB
39	generate_data_benchmark (grid row: 38)	COMPLETED	0	3.2s	597.4 MB
40	generate_data_benchmark (grid row: 39)	COMPLETED	0	3.2s	585.3 MB
72	generate_data_benchmark (grid row: 71)	COMPLETED	0	2.2s	582.6 MB
75	generate_data_benchmark (grid row: 74)	COMPLETED	0	2.1s	375.8 MB
79	generate_data_benchmark (grid row: 78)	COMPLETED	0	2.2s	375.8 MB
32	generate_data_benchmark (grid row: 31)	COMPLETED	0	2.1s	572.1 MB
33	generate_data_benchmark (grid row: 32)	COMPLETED	0	1.9s	372.9 MB
34	generate_data_benchmark (grid row: 33)	COMPLETED	0	2s	572.1 MB
35	generate_data_benchmark (grid row: 34)	COMPLETED	0	2.3s	486.5 MB
41	generate_data_benchmark (grid row: 40)	COMPLETED	0	3.7s	585.3 MB
42	generate_data_benchmark (grid row: 41)	COMPLETED	0	6.1s	671.9 MB
43	generate_data_benchmark (grid row: 42)	COMPLETED	0	7.3s	671.9 MB
46	generate_data_benchmark (grid row: 45)	COMPLETED	0	6s	671.9 MB
48	generate_data_benchmark (grid row: 47)	COMPLETED	0	2.2s	375.8 MB
47	generate_data_benchmark (grid row: 46)	COMPLETED	0	2.4s	582.4 MB
49	generate_data_benchmark (grid row: 48)	COMPLETED	0	2.5s	582.4 MB
80	generate_data_benchmark (grid row: 79)	COMPLETED	0	2.2s	375.8 MB
83	generate_data_benchmark (grid row: 82)	COMPLETED	0	2.2s	582.6 MB
53	generate_data_benchmark (grid row: 52)	COMPLETED	0	2.2s	582.1 MB
54	generate_data_benchmark (grid row: 53)	COMPLETED	0	2.3s	375.8 MB
55	generate_data_benchmark (grid row: 54)	COMPLETED	0	2.3s	375.8 MB
56	generate_data_benchmark (grid row: 55)	COMPLETED	0	2.4s	375.8 MB
57	generate_data_benchmark (grid row: 56)	COMPLETED	0	2.2s	581.2 MB
58	generate_data_benchmark (grid row: 57)	COMPLETED	0	2.4s	375.8 MB
87	run_method_benchmark (method: GCM_supervised_LASSO_LASSO_1; grid row: 2)	COMPLETED	0	5s	620.5 MB
90	run_method_benchmark (method: GCM_supervised_PLASSO_PLASSO_2; grid row: 1)	COMPLETED	0	5s	623.6 MB
50	generate_data_benchmark (grid row: 49)	COMPLETED	0	2.3s	582.4 MB
52	generate_data_benchmark (grid row: 51)	COMPLETED	0	2.3s	582.1 MB
51	generate_data_benchmark (grid row: 50)	COMPLETED	0	2.5s	375.8 MB
60	generate_data_benchmark (grid row: 59)	COMPLETED	0	2.2s	581.2 MB
61	generate_data_benchmark (grid row: 60)	COMPLETED	0	2.3s	375.8 MB
63	generate_data_benchmark (grid row: 62)	COMPLETED	0	2.3s	375.8 MB
64	generate_data_benchmark (grid row: 63)	COMPLETED	0	2.1s	579.7 MB
67	generate_data_benchmark (grid row: 66)	COMPLETED	0	2.1s	375.8 MB
66	generate_data_benchmark (grid row: 65)	COMPLETED	0	2.2s	579.7 MB
93	run_method_benchmark (method: GCM_supervised_LASSO_LASSO_1; grid row: 10)	COMPLETED	0	7.9s	624.2 MB
59	generate_data_benchmark (grid row: 58)	COMPLETED	0	2.6s	581.2 MB
73	generate_data_benchmark (grid row: 72)	COMPLETED	0	2.2s	582.6 MB
74	generate_data_benchmark (grid row: 73)	COMPLETED	0	2.2s	377.7 MB
76	generate_data_benchmark (grid row: 75)	COMPLETED	0	2.1s	375.8 MB
102	run_method_benchmark (method: GCM_supervised_PLASSO_PLASSO_2; grid row: 35)	COMPLETED	0	8.4s	622.7 MB
101	run_method_benchmark (method: GCM_supervised_LASSO_LASSO_1; grid row: 35)	COMPLETED	0	8.3s	623 MB
105	run_method_benchmark (method: GCM_supervised_LASSO_LASSO_1; grid row: 4)	COMPLETED	0	5s	624.6 MB
